// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Control::?A0xfd906835::s_CharaIterateDisplayName         | 0x00FD5360 |   2 | 0x012C0610 | .?AVs_CharaIterateDisplayName@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_CharaIterateDisplayNameMulti    | 0x00FD5370 |   2 | 0x012C0670 | .?AVs_CharaIterateDisplayNameMulti@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_CutScenePreviewThreadEndListner | 0x00FD51C8 |   4 | 0x012C02C0 | .?AVs_CutScenePreviewThreadEndListner@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_GetAllItemTentativeCreator      | 0x00FD6034 |  22 | 0x012C2760 | .?AVs_GetAllItemTentativeCreator@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_GetListPropertyProcessor        | 0x00FD56F4 |   7 | 0x012C0E70 | .?AVs_GetListPropertyProcessor@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_HasEnmityCharaIterate           | 0x00FD5648 |   2 | 0x012C0AD0 | .?AVs_HasEnmityCharaIterate@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_ItemSearchWidgetResumeChecker   | 0x00FD537C |   3 | 0x012C06D0 | .?AVs_ItemSearchWidgetResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_PreloadResumeChecker            | 0x00FD6150 |   3 | 0x012C2960 | .?AVs_PreloadResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_WaitForCharaSchedulerTutorialFinishedResumeChecker | 0x00FD58FC |   3 | 0x012C13B8 | .?AVs_WaitForCharaSchedulerTutorialFinishedResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_WaitForTransformIntoChocoboResumeChecker | 0x00FD5918 |   3 | 0x012C1490 | .?AVs_WaitForTransformIntoChocoboResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::TextDataReadResumeChecker         | 0x00FD4FD0 |   3 | 0x012BFE38 | .?AVTextDataReadResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::WaitLoadFormResumeChecker         | 0x00FD5798 |   3 | 0x012C1228 | .?AVWaitLoadFormResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::ActorBase                                       | 0x00FD4FE4 |  34 | 0x01270964 | .?AVActorBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::AreaBase                                        | 0x00FD63D4 |  35 | 0x012C2A6C | .?AVAreaBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CharaBase                                       | 0x00FD5CAC |  41 | 0x012709A4 | .?AVCharaBase@Control@Client@Script@Lua@Application@@
